Date,Close,High,Low,Open,Volume
5/11/2023,169.3000031,169.7019958,167.8549957,169.3000031,0
5/12/2023,168.1900024,169.1089935,168.2019958,168.1900024,0
5/15/2023,169.0980072,170.4210052,169.0399933,169.0980072,0
5/16/2023,170.3800049,170.8049927,169.3970032,170.3800049,0
5/17/2023,170.3040009,171.6640015,170.1210022,170.3040009,0
5/18/2023,171.7660065,172.1320038,171.1799927,171.7660065,0
5/19/2023,172.0480042,172.4949951,171.253006,172.0480042,0
5/22/2023,171.5650024,172.5410004,171.201004,171.5650024,0
5/23/2023,172.4140015,172.6100006,171.3170013,172.4140015,0
5/24/2023,172.0870056,172.723999,171.2610016,172.0870056,0
5/25/2023,172.2960052,172.7511749,172.0099945,172.2960052,0
5/26/2023,172.423996,173.4299927,172.2200012,172.423996,0
5/29/2023,173.9170074,173.901001,172.9299927,173.9170074,0
5/30/2023,173.4199982,174.2669983,173.003006,173.4199982,0
5/31/2023,173.4920044,173.6069946,172.5200043,173.4920044,0
6/1/2023,173.1549988,174.0950012,173.052002,173.1549988,0
6/2/2023,173.7769928,174.6560059,173.7489929,173.7769928,0
6/5/2023,174.2630005,174.3040009,172.8899994,174.2630005,0
6/6/2023,173.2669983,173.7429962,172.6750031,173.2669983,0
6/7/2023,173.3869934,174.3439941,172.6809998,173.3869934,0
6/8/2023,174.0879974,174.4810028,173.8999939,174.0879974,0
6/9/2023,174.3769989,175.5310059,174.4290009,174.3769989,0
6/12/2023,175.3280029,175.7489929,174.3639984,175.3280029,0
6/13/2023,174.522995,176.6390076,174.4649963,174.522995,0
6/14/2023,176.6790009,177.1289978,176.4499969,176.6790009,0
6/15/2023,177.3240051,179.3390045,177.3339996,177.3240051,0
6/16/2023,179.326004,181.723999,178.8249969,179.326004,0
6/19/2023,181.9799957,182.0599976,181.2220001,181.9799957,0
6/20/2023,181.5310059,182.0319977,179.9579926,181.5310059,0
6/21/2023,180.3970032,181.5599976,179.9589996,180.3970032,0
6/22/2023,180.9380035,182.1959991,180.7369995,180.9380035,0
6/23/2023,182.298996,182.7929993,181.3190002,182.298996,0
6/26/2023,182.7079926,182.9700012,181.6999969,182.7079926,0
6/27/2023,182.352005,183.677002,182.2180023,182.352005,0
6/28/2023,183.3509979,183.5789948,182.1690063,183.3509979,0
6/29/2023,182.5189972,182.8560028,182.2169952,182.5189972,0
6/30/2023,182.6300049,183.8560028,182.1799927,182.6300049,0
7/3/2023,183.2769928,183.7449951,183.0859985,183.2769928,0
7/4/2023,183.4900055,183.8970032,183.2550049,183.4900055,0
7/5/2023,183.6100006,183.973999,183.1710052,183.6100006,0
7/6/2023,183.5299988,183.9940033,182.5,183.5299988,0
7/7/2023,183.4109955,183.5350037,182.022995,183.4109955,0
7/10/2023,182.5690002,183.2030029,181.1029968,182.5690002,0
7/11/2023,181.7330017,181.9750061,180.8359985,181.7330017,0
7/12/2023,181.1970062,181.1690063,179.5299988,181.1970062,0
7/13/2023,179.7319946,181.4259949,179.496994,179.7319946,0
7/14/2023,181.253006,182.2519989,180.2510071,181.253006,0
7/17/2023,181.5310059,182.1199951,180.6009979,181.5310059,0
7/18/2023,181.3300018,181.7899933,180.404007,181.3300018,0
